strategy,k,n,rejection_rate,ci_lower,ci_upper,reject_weight,reject_list_size,accept,total
Shifted coefficients,2,11,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,2,12,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,2,13,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,2,14,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,2,15,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,2,16,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,4,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,5,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,6,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,7,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,8,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,9,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,10,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,11,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,12,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,13,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,14,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,15,1.0000,0.9630,1.0000,100,0,0,100
Shifted coefficients,4,16,1.0000,0.9630,1.0000,100,0,0,100
Subset + noise,2,4,0.7800,0.6893,0.8500,78,0,22,100
Subset + noise,2,5,0.8200,0.7333,0.8830,82,0,18,100
Subset + noise,2,6,0.6800,0.5834,0.7633,68,0,32,100
Subset + noise,2,7,0.7000,0.6041,0.7811,70,0,30,100
Subset + noise,2,8,0.7800,0.6893,0.8500,78,0,22,100
Subset + noise,2,9,0.7100,0.6146,0.7899,71,0,29,100
Subset + noise,2,10,0.7700,0.6785,0.8416,77,0,23,100
Subset + noise,2,11,0.7800,0.6893,0.8500,78,0,22,100
Subset + noise,2,12,0.7200,0.6251,0.7986,72,0,28,100
Subset + noise,2,13,0.8300,0.7445,0.8911,83,0,17,100
Subset + noise,2,14,0.7900,0.7002,0.8583,79,0,21,100
Subset + noise,2,15,0.7500,0.6570,0.8245,75,0,25,100
Subset + noise,2,16,0.7600,0.6677,0.8331,76,0,24,100
Subset + noise,4,4,0.9800,0.9300,0.9945,98,0,2,100
Subset + noise,4,5,0.9700,0.9155,0.9897,97,0,3,100
Subset + noise,4,6,0.9800,0.9300,0.9945,98,0,2,100
Subset + noise,4,7,0.9800,0.9300,0.9945,98,0,2,100
Subset + noise,4,8,0.9200,0.8500,0.9589,92,0,8,100
Subset + noise,4,9,0.9800,0.9300,0.9945,98,0,2,100
Subset + noise,4,10,0.9600,0.9016,0.9843,96,0,4,100
Subset + noise,4,11,0.9800,0.9300,0.9945,98,0,2,100
Subset + noise,4,12,0.9700,0.9155,0.9897,97,0,3,100
Subset + noise,4,13,0.9900,0.9455,0.9982,99,0,1,100
Subset + noise,4,14,0.9600,0.9016,0.9843,96,0,4,100
Subset + noise,4,15,0.9800,0.9300,0.9945,98,0,2,100
Subset + noise,4,16,0.9800,0.9300,0.9945,98,0,2,100
